CUSTOM_ID,SR_ID
ID-001941,AA00000029469
ID-001941,AA00000029468
ID-001941,AA00000029467
ID-001941,AA00000029466
ID-001941,AA00000029465
ID-002062,AA00000029464
ID-002062,AA00000029463
ID-002062,AA00000029462
ID-005578,AA00000029461
ID-002452,AA00000029460
ID-002452,AA00000029459
ID-002542,AA00000029458
ID-002542,AA00000029457
ID-002542,AA00000029456
ID-002542,AA00000029455
ID-002542,AA00000029454
ID-002720,AA00000029453
ID-002720,AA00000029452
ID-002720,AA00000029451
ID-002720,AA00000029450
ID-002720,AA00000029449
ID-002720,AA00000029448
ID-002720,AA00000029447
ID-004105,AA00000029446
ID-004105,AA00000029445
ID-004105,AA00000029444
ID-004852,AA00000029443
ID-004852,AA00000029442
ID-004852,AA00000029441
ID-004852,AA00000029440
ID-004852,AA00000029439
ID-002196,AA00000029438
ID-002196,AA00000029437
ID-002196,AA00000029436
ID-002196,AA00000029435
ID-001097,AA00000029434
ID-001097,AA00000029433
ID-001097,AA00000029432
ID-003667,AA00000029431
ID-000433,AA00000029430
ID-000433,AA00000029429
ID-000433,AA00000029428
ID-001076,AA00000029427
ID-001076,AA00000029426
ID-001076,AA00000029425
ID-001076,AA00000029424
ID-001076,AA00000029423
ID-001076,AA00000029422
ID-001076,AA00000029421
ID-001076,AA00000029420
ID-001076,AA00000029419
ID-000822,AA00000029418
ID-000822,AA00000029417
ID-000822,AA00000029416
ID-002202,AA00000029415
ID-002202,AA00000029414
ID-002202,AA00000029413
ID-003470,AA00000029412
ID-003470,AA00000029411
ID-003470,AA00000029410
ID-000271,AA00000029409
ID-000271,AA00000029408
ID-000271,AA00000029407
ID-003821,AA00000029406
ID-003821,AA00000029405
ID-003821,AA00000029404
ID-003821,AA00000029403
ID-003821,AA00000029402
ID-003821,AA00000029401
ID-003821,AA00000029400
ID-003821,AA00000029399
ID-003821,AA00000029398
ID-003821,AA00000029397
ID-003147,AA00000029396
ID-003147,AA00000029395
ID-003147,AA00000029394
ID-003147,AA00000029393
ID-003147,AA00000029392
ID-003147,AA00000029391
ID-003147,AA00000029390
ID-003147,AA00000029389
ID-003624,AA00000029388
ID-003624,AA00000029387
ID-001417,AA00000029386
ID-001417,AA00000029385
ID-001417,AA00000029384
ID-001417,AA00000029383
ID-001417,AA00000029382
ID-001417,AA00000029381
ID-001417,AA00000029380
ID-001417,AA00000029379
ID-001417,AA00000029378
ID-001417,AA00000029377
ID-003910,AA00000029376
ID-003910,AA00000029375
ID-004250,AA00000029374
ID-004250,AA00000029373
ID-005575,AA00000029372
ID-000575,AA00000029371
ID-000575,AA00000029370
ID-000575,AA00000029369
ID-000575,AA00000029368
ID-000575,AA00000029367
ID-000575,AA00000029366
ID-000575,AA00000029365
ID-000575,AA00000029364
ID-000575,AA00000029363
ID-000575,AA00000029362
ID-000575,AA00000029361
ID-000575,AA00000029360
ID-000575,AA00000029359
ID-000575,AA00000029358
ID-000575,AA00000029357
ID-000575,AA00000029356
ID-000575,AA00000029355
ID-000575,AA00000029354
ID-003329,AA00000029353
ID-003329,AA00000029352
ID-001795,AA00000029351
ID-001795,AA00000029350
ID-001795,AA00000029349
ID-001795,AA00000029348
ID-001795,AA00000029347
ID-002487,AA00000029346
ID-004023,AA00000029345
ID-004023,AA00000029344
ID-004023,AA00000029343
ID-000356,AA00000029342
ID-000356,AA00000029341
ID-000356,AA00000029340
ID-000356,AA00000029339
ID-000356,AA00000029338
ID-000356,AA00000029337
ID-000356,AA00000029336
ID-000356,AA00000029335
ID-000356,AA00000029334
ID-000356,AA00000029333
ID-000356,AA00000029332
ID-000356,AA00000029331
ID-000356,AA00000029330
ID-000356,AA00000029329
ID-000356,AA00000029328
ID-000356,AA00000029327
ID-000356,AA00000029326
ID-000356,AA00000029325
ID-000356,AA00000029324
ID-000356,AA00000029323
ID-000356,AA00000029322
ID-000356,AA00000029321
ID-000356,AA00000029320
